Hmm	ORF	tlen	qlen	Eval	score	start	end	Acc	Pos	Cov_seq	Cov_hmm	strand
AbiEii_0_CAS-III	NIPA01000018.1_188	258	284	0.0034	15.6	206693	207466	NIPA01000018.1	188	0.36046511627906974	0.3345070422535211	-1
AbiEii_0_CAS-III	NIPA01000018.1_243	228	284	0.019	13.1	265550	266233	NIPA01000018.1	243	0.2807017543859649	0.22535211267605634	-1
AbiEii_0_CAS-III	NIPA01000018.1_295	311	284	3.3e-10	38.6	313772	314704	NIPA01000018.1	295	0.3633440514469453	0.38380281690140844	1
AbiEii_0_CAS-III	NIPA01000018.1_325	582	284	5.5e-05	21.4	335926	337671	NIPA01000018.1	325	0.32646048109965636	0.5528169014084507	-1
AbiEii_0_CAS-III	NIPA01000018.1_77	641	284	7e-05	21.1	93791	95713	NIPA01000018.1	77	0.22308892355694226	0.4647887323943662	1
AbiEii_0_CAS-III	NIPA01000020.1_109	550	284	0.00092	17.4	129561	131210	NIPA01000020.1	109	0.11454545454545455	0.22183098591549297	1
AbiEii_0_CAS-III	NIPA01000020.1_18	283	284	0.0019	16.4	24197	25045	NIPA01000020.1	18	0.2332155477031802	0.22183098591549297	-1
AbiEii_0_CAS-III	NIPA01000020.1_39	279	284	0.019	13.1	46087	46923	NIPA01000020.1	39	0.3010752688172043	0.27816901408450706	-1
AbiEii_0_CAS-III	NIPA01000020.1_51	371	284	6.9e-05	21.1	60531	61643	NIPA01000020.1	51	0.3584905660377358	0.4612676056338028	1
AbiEii_0_CAS-III	NIPA01000020.1_60	367	284	9.6e-05	20.6	72017	73117	NIPA01000020.1	60	0.27520435967302453	0.3415492957746479	1
AbiEii_0_CAS-III	NIPA01000022.1_46	265	284	0.00045	18.4	35181	35975	NIPA01000022.1	46	0.4981132075471698	0.47183098591549294	1
AbiEii_0_CAS-III	NIPA01000025.1_41	442	284	0.00095	17.4	44053	45378	NIPA01000025.1	41	0.12895927601809956	0.20422535211267606	-1
AbiEii_0_CAS-III	NIPA01000027.1_78	641	284	0.02	13.0	71435	73357	NIPA01000027.1	78	0.1060842433697348	0.2323943661971831	1
AbiEii_0_CAS-III	NIPA01000035.1_13	248	284	3.1e-07	28.8	15084	15827	NIPA01000035.1	13	0.40725806451612906	0.34507042253521125	1
AbiEii_0_CAS-III	NIPA01000035.1_47	266	284	0.00019	19.6	51551	52348	NIPA01000035.1	47	0.2857142857142857	0.2640845070422535	1
AbiEii_0_CAS-III	NIPA01000036.1_14	330	284	2e-05	22.8	16002	16991	NIPA01000036.1	14	0.2909090909090909	0.34507042253521125	1
AbiEii_0_CAS-III	NIPA01000038.1_136	532	284	0.06	11.5	137447	139042	NIPA01000038.1	136	0.06203007518796992	0.11267605633802817	-1
AbiEii_0_CAS-III	NIPA01000038.1_149	238	284	0.00021	19.5	153989	154702	NIPA01000038.1	149	0.4831932773109244	0.3767605633802817	-1
AbiEii_0_CAS-III	NIPA01000038.1_150	555	284	8e-05	20.9	155182	156846	NIPA01000038.1	150	0.1981981981981982	0.33098591549295775	-1
AbiEii_0_CAS-III	NIPA01000039.1_112	856	284	0.069	11.3	114798	117365	NIPA01000039.1	112	0.07126168224299065	0.20774647887323944	1
AbiEii_0_CAS-III	NIPA01000039.1_164	308	284	8.6e-06	24.1	171341	172264	NIPA01000039.1	164	0.3051948051948052	0.31690140845070425	-1
AbiEii_0_CAS-III	NIPA01000039.1_28	361	284	0.057	11.5	20222	21304	NIPA01000039.1	28	0.32132963988919666	0.397887323943662	1
AbiEii_0_CAS-III	NIPA01000039.1_99	364	284	0.0013	17.0	101352	102443	NIPA01000039.1	99	0.23626373626373626	0.28169014084507044	1
AbiEii_0_CAS-III	NIPA01000040.1_123	589	284	0.028	12.5	128115	129881	NIPA01000040.1	123	0.09507640067911714	0.19014084507042253	-1
AbiEii_0_CAS-III	NIPA01000040.1_167	256	284	8.3e-07	27.4	176227	176994	NIPA01000040.1	167	0.3203125	0.2711267605633803	1
AbiEii_0_CAS-III	NIPA01000040.1_168	234	284	0.00015	20.0	176997	177698	NIPA01000040.1	168	0.4829059829059829	0.38380281690140844	1
AbiEii_0_CAS-III	NIPA01000042.1_17	917	284	0.00021	19.5	14265	17015	NIPA01000042.1	17	0.15485278080697928	0.2852112676056338	-1
AbiEii_0_CAS-III	NIPA01000042.1_38	639	284	2.9e-07	28.9	39787	41703	NIPA01000042.1	38	0.18935837245696402	0.33098591549295775	-1
AbiEii_0_CAS-III	NIPA01000043.1_48	332	284	0.008	14.3	49706	50701	NIPA01000043.1	48	0.2319277108433735	0.27816901408450706	-1
AbiEii_0_CAS-III	NIPA01000043.1_74	611	284	0.0013	16.9	74122	75954	NIPA01000043.1	74	0.13747954173486088	0.2992957746478873	-1
AbiEii_0_CAS-III	NIPA01000046.1_161	268	284	0.026	12.6	165654	166457	NIPA01000046.1	161	0.08208955223880597	0.07394366197183098	-1
AbiEii_0_CAS-III	NIPA01000046.1_63	597	284	0.021	12.9	65299	67089	NIPA01000046.1	63	0.1440536013400335	0.2887323943661972	1
AbiEii_0_CAS-III	NIPA01000046.1_81	305	284	0.0073	14.5	82156	83070	NIPA01000046.1	81	0.21311475409836064	0.22183098591549297	-1
AbiEii_0_CAS-III	NIPA01000046.1_91	285	284	0.0043	15.2	92283	93137	NIPA01000046.1	91	0.26666666666666666	0.2605633802816901	1
AbiEii_0_CAS-III	NIPA01000046.1_99	272	284	0.075	11.1	98873	99688	NIPA01000046.1	99	0.3125	0.28169014084507044	1
AbiEii_0_CAS-III	NIPA01000048.1_168	537	284	0.001	17.2	179726	181336	NIPA01000048.1	168	0.3054003724394786	0.31690140845070425	-1
AbiEii_0_CAS-III	NIPA01000059.1_154	1163	284	0.031	12.4	162332	165820	NIPA01000059.1	154	0.034393809114359415	0.15140845070422534	-1
AbiEii_0_CAS-III	NIPA01000063.1_23	724	284	0.0009	17.4	28698	30869	NIPA01000063.1	23	0.13397790055248618	0.33098591549295775	1
AbiEii_0_CAS-III	NIPA01000063.1_6	362	284	0.011	13.9	4946	6031	NIPA01000063.1	6	0.19613259668508287	0.25	-1
AbiEii_0_CAS-III	NIPA01000064.1_35	276	284	0.00097	17.3	38503	39330	NIPA01000064.1	35	0.3695652173913043	0.36619718309859156	1
AbiEii_0_CAS-III	NIPA01000064.1_5	264	284	0.0052	14.9	6034	6825	NIPA01000064.1	5	0.19318181818181818	0.176056338028169	-1
AbiEii_0_CAS-III	NIPA01000066.1_45	388	284	0.025	12.7	46136	47299	NIPA01000066.1	45	0.33505154639175255	0.4154929577464789	1
AbiEii_0_CAS-III	NIPA01000068.1_107	245	284	1e-07	30.4	118028	118762	NIPA01000068.1	107	0.4122448979591837	0.352112676056338	-1
AbiEii_0_CAS-III	NIPA01000068.1_12	594	284	0.0016	16.6	15280	17061	NIPA01000068.1	12	0.1632996632996633	0.3274647887323944	1
AbiEii_0_CAS-III	NIPA01000068.1_22	241	284	6.1e-05	21.3	29032	29754	NIPA01000068.1	22	0.5352697095435685	0.44366197183098594	-1
AbiEii_0_CAS-III	NIPA01000070.1_26	535	284	0.00049	18.3	20264	21868	NIPA01000070.1	26	0.16822429906542055	0.29225352112676056	1
AbiEii_0_CAS-III	NIPA01000073.1_116	350	284	0.0026	15.9	125723	126772	NIPA01000073.1	116	0.19714285714285715	0.22887323943661972	1
AbiEii_0_CAS-III	NIPA01000073.1_66	224	284	0.049	11.7	73311	73982	NIPA01000073.1	66	0.33035714285714285	0.2605633802816901	-1
AbiEii_0_CAS-III	NIPA01000079.1_28	387	284	0.00019	19.7	25114	26274	NIPA01000079.1	28	0.32299741602067183	0.44366197183098594	1
AbiEii_0_CAS-III	NIPA01000086.1_204	388	284	4.4e-08	31.6	213549	214712	NIPA01000086.1	204	0.26804123711340205	0.34507042253521125	1
AbiEii_0_CAS-III	NIPA01000086.1_276	598	284	0.0021	16.2	292702	294495	NIPA01000086.1	276	0.16387959866220736	0.3204225352112676	1
AbiEii_0_CAS-III	NIPA01000086.1_387	353	284	0.029	12.5	406781	407839	NIPA01000086.1	387	0.06515580736543909	0.08098591549295775	1
AbiEii_0_CAS-III	NIPA01000092.1_105	278	284	0.012	13.7	119555	120388	NIPA01000092.1	105	0.2841726618705036	0.2711267605633803	-1
AbiEii_0_CAS-III	NIPA01000092.1_4	858	284	0.011	13.8	2057	4630	NIPA01000092.1	4	0.054778554778554776	0.15140845070422534	1
AbiEii_0_CAS-III	NIPA01000099.1_140	258	284	0.00023	19.4	161767	162540	NIPA01000099.1	140	0.4418604651162791	0.3873239436619718	1
AbiEii_0_CAS-III	NIPA01000099.1_59	245	284	6.8e-06	24.4	72717	73451	NIPA01000099.1	59	0.40816326530612246	0.3415492957746479	-1
AbiEii_0_CAS-III	NIPA01000099.1_79	277	284	0.00091	17.4	96883	97713	NIPA01000099.1	79	0.5234657039711191	0.5035211267605634	-1
AbiEii_0_CAS-III	NIPA01000102.1_107	291	284	7.3e-08	30.9	129578	130450	NIPA01000102.1	107	0.23367697594501718	0.22535211267605634	1
AbiEii_0_CAS-III	NIPA01000102.1_108	239	284	0.0019	16.4	130447	131163	NIPA01000102.1	108	0.3054393305439331	0.2535211267605634	1
AbiEii_0_CAS-III	NIPA01000102.1_155	233	284	0.013	13.7	176922	177620	NIPA01000102.1	155	0.24892703862660945	0.2007042253521127	-1
AbiEii_0_CAS-III	NIPA01000102.1_156	286	284	0.00042	18.5	177757	178614	NIPA01000102.1	156	0.2937062937062937	0.27816901408450706	-1
AbiEii_0_CAS-III	NIPA01000102.1_316	256	284	0.046	11.8	351634	352401	NIPA01000102.1	316	0.0625	0.056338028169014086	1
AbiEii_0_CAS-III	NIPA01000105.1_27	716	284	0.0043	15.2	29176	31323	NIPA01000105.1	27	0.06424581005586592	0.0880281690140845	-1
AbiEii_0_CAS-III	NIPA01000108.1_111	193	284	0.011	13.9	105868	106446	NIPA01000108.1	111	0.39378238341968913	0.2676056338028169	-1
AbiEii_0_CAS-III	NIPA01000108.1_132	427	284	0.0056	14.8	127641	128921	NIPA01000108.1	132	0.07962529274004684	0.11267605633802817	1
AbiEii_0_CAS-III	NIPA01000108.1_137	537	284	1.9e-05	23.0	134872	136482	NIPA01000108.1	137	0.40409683426443205	0.4295774647887324	-1
AbiEii_0_CAS-III	NIPA01000109.1_48	252	284	0.001	17.3	61426	62181	NIPA01000109.1	48	0.10317460317460317	0.0880281690140845	-1
AbiEii_0_CAS-III	NIPA01000111.1_28	270	284	0.019	13.1	25980	26789	NIPA01000111.1	28	0.2037037037037037	0.18661971830985916	-1
AbiEii_0_CAS-III	NIPA01000111.1_33	242	284	0.00025	19.3	29817	30542	NIPA01000111.1	33	0.359504132231405	0.3204225352112676	1
AbiEii_0_CAS-III	NIPA01000111.1_78	325	284	0.0053	14.9	81954	82928	NIPA01000111.1	78	0.3507692307692308	0.3908450704225352	1
AbiEii_0_CAS-III	NIPA01000111.1_79	324	284	8.2e-05	20.8	82928	83899	NIPA01000111.1	79	0.43209876543209874	0.4753521126760563	1
AbiEii_0_CAS-III	NIPA01000114.1_1	361	284	0.0069	14.5	2	1084	NIPA01000114.1	1	0.19113573407202217	0.24647887323943662	1
AbiEii_0_CAS-III	NIPA01000117.1_59	571	284	5.5e-05	21.4	58278	59990	NIPA01000117.1	59	0.1243432574430823	0.2640845070422535	1
AbiEii_0_CAS-III	NIPA01000117.1_60	575	284	0.035	12.2	59987	61711	NIPA01000117.1	60	0.06782608695652174	0.13732394366197184	1
AbiEii_1_CAS-III-A	NIPA01000010.1_87	270	335	0.012	13.4	97634	98443	NIPA01000010.1	87	0.16666666666666666	0.13432835820895522	1
AbiEii_1_CAS-III-A	NIPA01000012.1_72	309	335	0.045	11.4	71396	72322	NIPA01000012.1	72	0.21359223300970873	0.208955223880597	-1
AbiEii_1_CAS-III-A	NIPA01000018.1_188	258	335	0.00086	17.1	206693	207466	NIPA01000018.1	188	0.26744186046511625	0.20597014925373133	-1
AbiEii_1_CAS-III-A	NIPA01000022.1_46	265	335	0.037	11.7	35181	35975	NIPA01000022.1	46	0.2830188679245283	0.2298507462686567	1
AbiEii_1_CAS-III-A	NIPA01000025.1_80	561	335	0.69	7.5	89310	90992	NIPA01000025.1	80	0.37254901960784315	0.2865671641791045	-1
AbiEii_1_CAS-III-A	NIPA01000040.1_167	256	335	4.4e-05	21.3	176227	176994	NIPA01000040.1	167	0.328125	0.25970149253731345	1
AbiEii_1_CAS-III-A	NIPA01000040.1_168	234	335	0.034	11.8	176997	177698	NIPA01000040.1	168	0.1282051282051282	0.08955223880597014	1
AbiEii_1_CAS-III-A	NIPA01000042.1_38	639	335	0.078	10.6	39787	41703	NIPA01000042.1	38	0.2112676056338028	0.32238805970149254	-1
AbiEii_1_CAS-III-A	NIPA01000043.1_48	332	335	0.0077	14.0	49706	50701	NIPA01000043.1	48	0.14457831325301204	0.1373134328358209	-1
AbiEii_1_CAS-III-A	NIPA01000063.1_6	362	335	0.0045	14.7	4946	6031	NIPA01000063.1	6	0.1132596685082873	0.12238805970149254	-1
AbiEii_1_CAS-III-A	NIPA01000068.1_107	245	335	0.024	12.3	118028	118762	NIPA01000068.1	107	0.3469387755102041	0.25671641791044775	-1
AbiEii_1_CAS-III-A	NIPA01000068.1_22	241	335	0.0068	14.1	29032	29754	NIPA01000068.1	22	0.2946058091286307	0.20597014925373133	-1
AbiEii_1_CAS-III-A	NIPA01000070.1_26	535	335	0.054	11.2	20264	21868	NIPA01000070.1	26	0.1308411214953271	0.21791044776119403	1
AbiEii_1_CAS-III-A	NIPA01000072.1_18	622	335	0.003	15.3	17727	19592	NIPA01000072.1	18	0.08842443729903537	0.15522388059701492	-1
AbiEii_1_CAS-III-A	NIPA01000079.1_28	387	335	0.012	13.3	25114	26274	NIPA01000079.1	28	0.08527131782945736	0.09850746268656717	1
AbiEii_1_CAS-III-A	NIPA01000092.1_105	278	335	2.3e-05	22.2	119555	120388	NIPA01000092.1	105	0.3129496402877698	0.2656716417910448	-1
AbiEii_1_CAS-III-A	NIPA01000099.1_59	245	335	0.041	11.6	72717	73451	NIPA01000099.1	59	0.2897959183673469	0.2208955223880597	-1
AbiEii_1_CAS-III-A	NIPA01000102.1_107	291	335	0.00027	18.8	129578	130450	NIPA01000102.1	107	0.10309278350515463	0.08955223880597014	1
AbiEii_1_CAS-III-A	NIPA01000102.1_108	239	335	0.046	11.4	130447	131163	NIPA01000102.1	108	0.3263598326359833	0.23582089552238805	1
AbiEii_1_CAS-III-A	NIPA01000117.1_59	571	335	0.00081	17.2	58278	59990	NIPA01000117.1	59	0.15061295971978983	0.2626865671641791	1
AbiEii_2_CAS-III-C	NIPA01000010.1_159	370	440	0.0054	14.6	172528	173637	NIPA01000010.1	159	0.07837837837837838	0.0659090909090909	1
AbiEii_2_CAS-III-C	NIPA01000070.1_26	535	440	8.1e-09	33.7	20264	21868	NIPA01000070.1	26	0.22429906542056074	0.275	1
AbiEii_2_CAS-III-C	NIPA01000086.1_204	388	440	0.0008	17.3	213549	214712	NIPA01000086.1	204	0.2706185567010309	0.24545454545454545	1
Can2_Card1_17_CAS-III	NIPA01000048.1_121	159	380	0.0013	16.0	120167	120643	NIPA01000048.1	121	0.779874213836478	0.33157894736842103	1
Can2_Card1_17_CAS-III	NIPA01000111.1_67	423	380	0.0024	15.2	66879	68147	NIPA01000111.1	67	0.19858156028368795	0.2236842105263158	-1
Cas10_0_CAS-III	NIPA01000073.1_103	346	511	1.6e-05	22.5	110817	111854	NIPA01000073.1	103	0.1907514450867052	0.13111545988258316	-1
Cas10_0_CAS-III	NIPA01000082.1_24	376	511	0.048	11.0	21289	22416	NIPA01000082.1	24	0.1622340425531915	0.12524461839530332	-1
Cas10_0_CAS-III	NIPA01000089.1_6	402	511	0.074	10.4	3210	4415	NIPA01000089.1	6	0.18407960199004975	0.13894324853228962	-1
Cas10_0_IIIA	NIPA01000018.1_303	194	650	0.0017	15.7	319996	320577	NIPA01000018.1	303	0.23195876288659795	0.06923076923076923	-1
Cas10_1_CAS-III	NIPA01000018.1_303	194	654	0.00016	19.0	319996	320577	NIPA01000018.1	303	0.211340206185567	0.06116207951070336	-1
Cas10_1_CAS-III-B	NIPA01000025.1_161	470	121	0.05	12.4	178729	180138	NIPA01000025.1	161	0.19361702127659575	0.71900826446281	1
Cas10_4_CAS-III	NIPA01000082.1_24	376	772	0.048	10.2	21289	22416	NIPA01000082.1	24	0.10904255319148937	0.05310880829015544	-1
Cas10d_5_CAS-I-D	NIPA01000014.1_37	257	616	0.034	11.0	37311	38081	NIPA01000014.1	37	0.25680933852140075	0.10714285714285714	1
Cas11_0_IV	NIPA01000050.1_4	1177	114	0.086	11.4	2392	5922	NIPA01000050.1	4	0.07476635514018691	0.5701754385964912	-1
Cas11d2_0_CAS-I-D	NIPA01000040.1_193	750	212	0.0027	16.5	201708	203957	NIPA01000040.1	193	0.05333333333333334	0.18396226415094338	-1
Cas12a_0_VA	NIPA01000010.1_142	287	1288	0.0029	13.9	154647	155507	NIPA01000010.1	142	0.3240418118466899	0.07065217391304347	-1
Cas12a_M11_0_V-A	NIPA01000092.1_108	324	1241	0.11	8.7	124556	125527	NIPA01000092.1	108	0.24382716049382716	0.062046736502820304	-1
Cas12a_M28_0_V-A	NIPA01000010.1_142	287	1273	0.035	10.4	154647	155507	NIPA01000010.1	142	0.2578397212543554	0.05341712490180676	-1
Cas12a_M29_0_V-A	NIPA01000092.1_9	709	1289	4.9	3.0	11740	13866	NIPA01000092.1	9	0.4203102961918195	0.13809154383242825	-1
Cas12c_1_CAS-V-C	NIPA01000040.1_208	492	1268	0.01	12.0	216136	217611	NIPA01000040.1	208	0.24796747967479674	0.09384858044164038	-1
Cas12c_1_CAS-V-C	NIPA01000061.1_18	539	1268	0.21	7.6	18488	20104	NIPA01000061.1	18	0.36178107606679033	0.17034700315457413	1
Cas12f2_0_CAS-V-F	NIPA01000108.1_153	279	517	0.095	9.8	155531	156367	NIPA01000108.1	153	0.1003584229390681	0.05415860735009671	1
Cas12f2_1_CAS-V-F	NIPA01000092.1_89	56	422	0.094	10.3	105175	105342	NIPA01000092.1	89	0.5892857142857143	0.05924170616113744	-1
Cas12f2_1_CAS-V-F	NIPA01000108.1_153	279	422	0.0012	16.6	155531	156367	NIPA01000108.1	153	0.11827956989247312	0.07819905213270142	1
Cas12f2_2_CAS-V-F	NIPA01000108.1_153	279	493	0.007	13.6	155531	156367	NIPA01000108.1	153	0.11469534050179211	0.06693711967545639	1
Cas12f4_0_CAS-V-F	NIPA01000010.1_145	157	577	0.24	8.3	157669	158139	NIPA01000010.1	145	0.4968152866242038	0.13344887348353554	-1
Cas1_0_CAS-I-II-III-IV-V-VI	NIPA01000104.1_41	447	317	0.071	10.7	39790	41130	NIPA01000104.1	41	0.0894854586129754	0.11987381703470032	-1
Cas1_0_CAS-I-II-III-IV-V-VI	NIPA01000109.1_31	325	317	2.3e-32	110.9	44830	45804	NIPA01000109.1	31	0.8461538461538461	0.8201892744479495	-1
Cas1_0_I-II-III	NIPA01000039.1_240	458	327	0.016	12.8	257489	258862	NIPA01000039.1	240	0.2314410480349345	0.24770642201834864	-1
Cas1_0_I-II-III	NIPA01000109.1_31	325	327	1.2e-62	210.5	44830	45804	NIPA01000109.1	31	0.8492307692307692	0.8134556574923547	-1
Cas1_0_I-II-III-V	NIPA01000109.1_31	325	315	1.8e-19	68.3	44830	45804	NIPA01000109.1	31	0.8584615384615385	0.8476190476190476	-1
Cas1_0_IE	NIPA01000109.1_31	325	269	1.3000000000000001e-30	105.0	44830	45804	NIPA01000109.1	31	0.7815384615384615	0.9070631970260223	-1
Cas1_0_IF	NIPA01000109.1_31	325	307	2.9e-154	511.5	44830	45804	NIPA01000109.1	31	0.9446153846153846	1.0	-1
Cas1_1_CAS-I-II-III-IV-V-VI	NIPA01000039.1_240	458	261	0.064	11.1	257489	258862	NIPA01000039.1	240	0.15065502183406113	0.26436781609195403	-1
Cas1_1_CAS-I-II-III-IV-V-VI	NIPA01000109.1_31	325	261	7.2e-59	197.7	44830	45804	NIPA01000109.1	31	0.84	0.9961685823754789	-1
Cas1_2_CAS-I-II-III-IV-V-VI	NIPA01000109.1_31	325	306	3.4e-153	507.9	44830	45804	NIPA01000109.1	31	0.9446153846153846	1.0	-1
Cas1_3_CAS-I-II-III-IV-V-VI	NIPA01000109.1_31	325	262	2.3000000000000002e-30	104.3	44830	45804	NIPA01000109.1	31	0.7815384615384615	0.9312977099236641	-1
Cas1_6_CAS-I-II-III-IV-V-VI	NIPA01000109.1_31	325	320	1.4e-06	26.4	44830	45804	NIPA01000109.1	31	0.6892307692307692	0.65	-1
Cas1_7_CAS-I-II-III-IV-V-VI	NIPA01000109.1_31	325	328	6.5e-65	217.9	44830	45804	NIPA01000109.1	31	0.9384615384615385	0.8871951219512195	-1
Cas1_8_CAS-I-II-III-IV-V-VI	NIPA01000109.1_31	325	283	4.0999999999999994e-24	83.8	44830	45804	NIPA01000109.1	31	0.8307692307692308	0.9045936395759717	-1
Cas2_7_CAS-I-II-III-IV-V-VI	NIPA01000038.1_6	570	94	0.024	13.7	8071	9780	NIPA01000038.1	6	0.156140350877193	0.5638297872340425	1
Cas2_7_CAS-I-II-III-IV-V-VI	NIPA01000042.1_25	420	94	0.049	12.7	26048	27307	NIPA01000042.1	25	0.09761904761904762	0.43617021276595747	-1
Cas3-Cas2_0_CAS-I-F	NIPA01000109.1_30	1077	1106	0.0	1263.6	41603	44833	NIPA01000109.1	30	0.9953574744661096	0.9990958408679927	-1
Cas3-Cas2_0_CAS-I-F	NIPA01000111.1_95	189	1106	0.096	8.9	102793	103359	NIPA01000111.1	95	0.3915343915343915	0.06329113924050633	-1
Cas3-Cas2_0_IF	NIPA01000109.1_30	1077	1110	0.0	1259.5	41603	44833	NIPA01000109.1	30	0.9953574744661096	0.9990990990990991	-1
Cas3HD_0_CAS-I	NIPA01000018.1_303	194	203	0.0098	14.3	319996	320577	NIPA01000018.1	303	0.30412371134020616	0.3694581280788177	-1
Cas3HD_0_CAS-I	NIPA01000038.1_94	640	203	7.6e-05	21.2	91628	93547	NIPA01000038.1	94	0.1875	0.4876847290640394	1
Cas3HD_0_CAS-I	NIPA01000039.1_150	901	203	0.028	12.8	156389	159091	NIPA01000039.1	150	0.10654827968923418	0.3793103448275862	1
Cas3HD_0_CAS-I	NIPA01000052.1_6	621	203	0.01	14.2	7261	9123	NIPA01000052.1	6	0.12399355877616747	0.2660098522167488	-1
Cas3HD_0_CAS-I	NIPA01000073.1_85	293	203	0.05	12.0	91779	92657	NIPA01000073.1	85	0.26621160409556316	0.4630541871921182	-1
Cas3HD_0_CAS-I	NIPA01000080.1_38	415	203	0.028	12.8	42867	44111	NIPA01000080.1	38	0.13493975903614458	0.30049261083743845	-1
Cas3HD_0_CAS-I	NIPA01000102.1_240	394	203	0.01	14.3	267310	268491	NIPA01000102.1	240	0.22588832487309646	0.4630541871921182	1
Cas3HD_0_CAS-I	NIPA01000109.1_30	1077	203	1.2e-12	46.6	41603	44833	NIPA01000109.1	30	0.14763231197771587	0.5615763546798029	-1
Cas3HD_0_CAS-I	NIPA01000111.1_95	189	203	0.019	13.4	102793	103359	NIPA01000111.1	95	0.20105820105820105	0.20689655172413793	-1
Cas3HD_1_CAS-I	NIPA01000109.1_30	1077	191	2.1e-05	23.0	41603	44833	NIPA01000109.1	30	0.04271123491179202	0.225130890052356	-1
Cas3HD_2_CAS-I	NIPA01000109.1_30	1077	231	2.7e-06	25.7	41603	44833	NIPA01000109.1	30	0.034354688950789226	0.13852813852813853	-1
Cas3_0_CAS-I	NIPA01000018.1_259	557	353	6.1e-09	34.0	279964	281634	NIPA01000018.1	259	0.4326750448833034	0.6883852691218131	1
Cas3_0_CAS-I	NIPA01000018.1_94	1151	353	5.8e-11	40.6	111207	114659	NIPA01000018.1	94	0.24413553431798435	0.8838526912181303	-1
Cas3_0_CAS-I	NIPA01000025.1_166	2122	353	0.079	10.6	187275	193640	NIPA01000025.1	166	0.07163053722902922	0.37677053824362605	-1
Cas3_0_CAS-I	NIPA01000027.1_215	459	353	1.8e-08	32.4	205663	207039	NIPA01000027.1	215	0.5315904139433552	0.6968838526912181	1
Cas3_0_CAS-I	NIPA01000043.1_24	1449	353	4.4e-09	34.5	18986	23332	NIPA01000043.1	24	0.22705314009661837	0.8781869688385269	1
Cas3_0_CAS-I	NIPA01000046.1_167	949	353	0.0018	16.0	173324	176170	NIPA01000046.1	167	0.2107481559536354	0.5637393767705382	-1
Cas3_0_CAS-I	NIPA01000046.1_2	447	353	1.1e-12	46.3	1716	3056	NIPA01000046.1	2	0.5548098434004475	0.6912181303116147	1
Cas3_0_CAS-I	NIPA01000064.1_18	450	353	1.8e-05	22.6	21693	23042	NIPA01000064.1	18	0.5466666666666666	0.6855524079320113	-1
Cas3_0_CAS-I	NIPA01000064.1_49	838	353	0.0019	16.0	53372	55885	NIPA01000064.1	49	0.26730310262529833	0.6288951841359773	-1
