Contig	Operon	Start	End	Prediction	Complete_Interference	Complete_Adaptation	Best_type	Best_score	Genes	Positions	E-values	CoverageSeq	CoverageHMM	Strand_Interference	Strand_Adaptation
NIPA01000059.1	NIPA01000059.1@1	111505	112056	False	0%	0%	I-A	0.0	['DEDDh_0_CAS-I-II-III-IV-V-VI']	[105]	['1.30e-14']	[0.929]	[0.994]	NA	NA
NIPA01000018.1	NIPA01000018.1@2	271669	272124	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[250]	['5.60e-04']	[0.428]	[0.525]	NA	NA
NIPA01000111.1	NIPA01000111.1@4	94066	94794	False	0%	0%	I-A	0.0	['2OG_1_CAS-I-II-III-IV-V-VI']	[88]	['2.20e-15']	[0.383]	[0.968]	NA	NA
NIPA01000099.1	NIPA01000099.1@3	161767	162540	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[140]	['2.30e-04']	[0.442]	[0.387]	NA	NA
NIPA01000018.1	NIPA01000018.1@3	279964	281634	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I']	[259]	['6.10e-09']	[0.433]	[0.688]	1	NA
NIPA01000064.1	NIPA01000064.1@1	21693	23623	False	14%	0%	I-A	2.0	['Cas3_0_CAS-I', 'NYN_0_CAS-III-B']	[18, 19]	['1.80e-05', '6.50e-11']	[0.547, 0.863]	[0.686, 0.459]	-1	NA
NIPA01000111.1	NIPA01000111.1@2	29817	30542	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[33]	['2.50e-04']	[0.36]	[0.32]	NA	NA
NIPA01000099.1	NIPA01000099.1@2	96883	97713	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[79]	['9.10e-04']	[0.523]	[0.504]	NA	NA
NIPA01000082.1	NIPA01000082.1@3	43070	43396	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[46]	['1.30e-19']	[0.881]	[0.78]	NA	NA
NIPA01000040.1	NIPA01000040.1@1	41560	42384	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[43]	['8.00e-05']	[0.313]	[0.321]	NA	NA
NIPA01000002.1	NIPA01000002.1@1	82256	83227	False	0%	0%	I-A	0.0	['WYL_0_CAS-I-II-III-IV-V-VI']	[78]	['2.80e-86']	[0.966]	[0.984]	NA	NA
NIPA01000064.1	NIPA01000064.1@2	35862	39330	False	0%	NA	III-A	2.0	['RT_0_CAS-III-AM-III-B', 'AbiEii_0_CAS-III']	[33, 35]	['9.40e-78', '9.70e-04']	[0.674, 0.37]	[0.913, 0.366]	NA	NA
NIPA01000111.1	NIPA01000111.1@1	14506	15423	False	0%	NA	IV-B	3.0	['CysH_0_IVB']	[15]	['6.30e-20']	[0.644]	[0.751]	NA	NA
NIPA01000063.1	NIPA01000063.1@1	10058	12334	False	20%	NA	IV-A1	2.0	['Csf4_0_IVA']	[11]	['9.60e-10']	[0.314]	[0.356]	1	NA
NIPA01000079.1	NIPA01000079.1@1	25114	26274	False	0%	NA	III-A	1.0	['AbiEii_0_CAS-III']	[28]	['1.90e-04']	[0.323]	[0.444]	NA	NA
NIPA01000086.1	NIPA01000086.1@1	385264	385824	False	0%	0%	I-A	0.0	['Csa3_1_CAS-I-II-III-IV-V-VI']	[360]	['4.70e-05']	[0.326]	[0.398]	NA	NA
NIPA01000105.1	NIPA01000105.1@1	32488	33486	False	0%	0%	I-A	0.0	['WYL_3_CAS-I-II-III-IV-V-VI']	[30]	['1.20e-22']	[0.538]	[1.0]	NA	NA
NIPA01000002.1	NIPA01000002.1@2	103963	104739	False	0%	0%	I-A	0.0	['WYL_0_CAS-I-II-III-IV-V-VI']	[102]	['4.50e-08']	[0.382]	[0.316]	NA	NA
NIPA01000018.1	NIPA01000018.1@7	342745	343647	False	0%	NA	III-A	1.0	['HTH_0_CAS-III-A']	[336]	['5.10e-08']	[0.392]	[0.305]	NA	NA
